ptg000001l	001l
ptg000002l	002l
ptg000003l	003l
ptg000004l	004l
ptg000005l	005l
ptg000006l	006l
ptg000007l	007l
ptg000008l	008l
ptg000009l	009l
ptg000010l	010l
ptg000011l	011l
ptg000012l	012l
ptg000013l	013l
ptg000014l	014l
ptg000015l	015l
ptg000016l	016l
ptg000017l	017l
ptg000018l	018l
ptg000019l	019l
ptg000020l	020l
ptg000021l	021l
ptg000022l	022l
ptg000023l	023l
ptg000024l	024l
ptg000025l	025l
ptg000026l	026l
ptg000027l	027l
ptg000028l	028l
ptg000029l	029l
ptg000030l	030l
ptg000031l	031l
ptg000032l	032l
ptg000033l	033l
ptg000034l	034l
ptg000035l	035l
ptg000036l	036l
ptg000037l	037l
ptg000038l	038l
ptg000039l	039l
ptg000040l	040l
ptg000041l	041l
ptg000042l	042l
ptg000043l	043l
ptg000044l	044l
ptg000045l	045l
ptg000046l	046l
ptg000047l	047l
ptg000048l	048l
ptg000049l	049l
ptg000050l	050l
ptg000051l	051l
ptg000052l	052l
ptg000053l	053l
ptg000054l	054l
ptg000055l	055l
ptg000056l	056l
ptg000057l	057l
ptg000058l	058l
ptg000059l	059l
ptg000060l	060l
ptg000061l	061l
ptg000062l	062l
ptg000063l	063l
ptg000064l	064l
ptg000065l	065l
ptg000066l	066l
ptg000067l	067l
ptg000068l	068l
ptg000069l	069l
ptg000070l	070l
ptg000071l	071l
ptg000072l	072l
ptg000073l	073l
ptg000074l	074l
ptg000075l	075l
ptg000076l	076l
ptg000077l	077l
ptg000078l	078l
ptg000079l	079l
ptg000080l	080l
ptg000081l	081l
ptg000082l	082l
ptg000083l	083l
ptg000084l	084l
ptg000086l	086l
ptg000087l	087l
ptg000088l	088l
ptg000090l	090l
ptg000091l	091l
ptg000092l	092l
ptg000093l	093l
ptg000094l	094l
ptg000095l	095l
ptg000096l	096l
ptg000097l	097l
ptg000098l	098l
ptg000099l	099l
ptg000101l	101l
ptg000102l	102l
ptg000103l	103l
ptg000104l	104l
ptg000105l	105l
ptg000106l	106l
ptg000107l	107l
ptg000108l	108l
ptg000109l	109l
ptg000110l	110l
ptg000111l	111l
ptg000112l	112l
ptg000113l	113l
ptg000114l	114l
ptg000115l	115l
ptg000116l	116l
ptg000117l	117l
ptg000118l	118l
ptg000119l	119l
ptg000120l	120l
ptg000121l	121l
ptg000122l	122l
ptg000123l	123l
ptg000124l	124l
ptg000125l	125l
ptg000126l	126l
ptg000127l	127l
ptg000128l	128l
ptg000129l	129l
ptg000130l	130l
ptg000131l	131l
ptg000132l	132l
ptg000133l	133l
ptg000134l	134l
ptg000136l	136l
ptg000139l	139l
ptg000140l	140l
ptg000141l	141l
ptg000142l	142l
ptg000143l	143l
